alert_id,timestamp_alerta,severidade,tipo_alerta,evidencia,acao_sugerida,status_revisao,decisao_humana,responsavel,timestamp_decisao,observacao
EC12416C2240,2022-09-12T20:00:06,BAIXA,QUEDA_QUALIDADE_FIRMWARE,"FPY 80.72%, baseline 91.25%, PPM 192771, seriais 83.",Bloquear ou revisar lote de firmware antes de continuar a produção.,PENDENTE,,,,
5F0C5F5E33D8,2022-09-12T20:45:06,BAIXA,FALHA_SISTEMATICA_JIG_ETAPA,15 falhas em 34 tentativas no jig.,Parar ou isolar o jig e abrir manutenção se a recorrência persistir.,PENDENTE,,,,
8ED5421A4043,2022-09-12T20:45:06,BAIXA,QUEDA_QUALIDADE_FIRMWARE,"FPY 82.61%, baseline 91.25%, PPM 173913, seriais 92.",Bloquear ou revisar lote de firmware antes de continuar a produção.,PENDENTE,,,,
E7F8D78BF4DD,2022-09-12T21:00:06,ALTA,FALHA_SISTEMATICA_JIG_ETAPA,14 falhas em 31 tentativas no jig.,Parar ou isolar o jig e abrir manutenção se a recorrência persistir.,PENDENTE,,,,
DAE776D7CE17,2022-09-12T21:00:06,BAIXA,QUEDA_QUALIDADE_FIRMWARE,"FPY 83.02%, baseline 91.55%, PPM 169811, seriais 53.",Bloquear ou revisar lote de firmware antes de continuar a produção.,PENDENTE,,,,
AE623D380021,2022-09-12T21:15:06,BAIXA,QUEDA_QUALIDADE_FIRMWARE,"FPY 84.27%, baseline 93.10%, PPM 157303, seriais 89.",Bloquear ou revisar lote de firmware antes de continuar a produção.,PENDENTE,,,,
D53363A842BD,2022-09-12T21:15:06,BAIXA,DRIFT_CYCLE_TIME,P95 total 297.9s contra baseline 233.4s.,Investigar gargalo de ciclo e correlacionar com falhas ou paradas.,PENDENTE,,,,
8C00AA1F8EB3,2022-09-12T22:00:06,BAIXA,QUEDA_QUALIDADE_FIRMWARE,"FPY 81.69%, baseline 91.25%, PPM 183099, seriais 71.",Bloquear ou revisar lote de firmware antes de continuar a produção.,PENDENTE,,,,
99D32560D3C5,2022-09-12T22:00:06,BAIXA,QUEDA_QUALIDADE_FIRMWARE,"FPY 83.05%, baseline 91.55%, PPM 169492, seriais 59.",Bloquear ou revisar lote de firmware antes de continuar a produção.,PENDENTE,,,,
66A6420300A2,2022-09-12T22:15:06,BAIXA,QUEDA_QUALIDADE_FIRMWARE,"FPY 85.00%, baseline 93.10%, PPM 150000, seriais 80.",Bloquear ou revisar lote de firmware antes de continuar a produção.,PENDENTE,,,,
66083448114E,2022-09-12T22:30:06,ALTA,ERRO_CRITICO_RECORRENTE,10 ocorrencias de ERR_MD5 em 185 tentativas.,Validar integridade dos artefatos de firmware e checksums.,PENDENTE,,,,
A98918C51308,2022-09-13T06:00:06,ALTA,MAC_DUPLICADO,"MAC AC:5A:14:FF:FF:FF aparece em 45 seriais: SN100220912071340, SN100220912071637, SN100220912071766, SN100220912072138, SN100220912072498.",Bloquear liberação dos seriais e revisar provisionamento de MAC.,PENDENTE,,,,
460C636F106D,2022-09-13T06:15:06,BAIXA,ERRO_CRITICO_RECORRENTE,4 ocorrencias de ERR_GLITCH em 78 tentativas.,Acompanhar recorrência; tratar como ruído se isolado.,PENDENTE,,,,
1B48AC90C269,2022-09-13T07:45:06,ALTA,MAC_DUPLICADO,"MAC AC:5A:14:00:84:56 aparece em 2 seriais: SN100220912082846, SN200220913077580.",Bloquear liberação dos seriais e revisar provisionamento de MAC.,PENDENTE,,,,
FBC559F56ADA,2022-09-13T08:15:06,BAIXA,QUEDA_QUALIDADE_FIRMWARE,"FPY 84.80%, baseline 93.10%, PPM 152000, seriais 125.",Bloquear ou revisar lote de firmware antes de continuar a produção.,PENDENTE,,,,
9DD3F66675F9,2022-09-13T09:15:06,BAIXA,FALHA_SISTEMATICA_JIG_ETAPA,7 falhas em 30 tentativas no jig.,Parar ou isolar o jig e abrir manutenção se a recorrência persistir.,PENDENTE,,,,
04A32309B552,2022-09-13T09:15:06,BAIXA,FALHA_SISTEMATICA_JIG_ETAPA,5 falhas em 31 tentativas no jig.,Parar ou isolar o jig e abrir manutenção se a recorrência persistir.,PENDENTE,,,,
142BC155F4FC,2022-09-13T09:15:06,BAIXA,QUEDA_QUALIDADE_FIRMWARE,"FPY 82.50%, baseline 90.91%, PPM 175000, seriais 120.",Bloquear ou revisar lote de firmware antes de continuar a produção.,PENDENTE,,,,
04CD6BA30A1C,2022-09-13T09:15:06,ALTA,ERRO_CRITICO_RECORRENTE,23 ocorrencias de ERR_AUTH em 384 tentativas.,Renovar ou validar API key antes de continuar o lote.,PENDENTE,,,,
C15F0B5CD2B8,2022-09-13T09:30:06,ALTA,FALHA_SISTEMATICA_JIG_ETAPA,14 falhas em 31 tentativas no jig.,Parar ou isolar o jig e abrir manutenção se a recorrência persistir.,PENDENTE,,,,
B2F5F84D9303,2022-09-13T09:30:06,ALTA,FALHA_SISTEMATICA_JIG_ETAPA,16 falhas em 34 tentativas no jig.,Parar ou isolar o jig e abrir manutenção se a recorrência persistir.,PENDENTE,,,,
08D7B91863C3,2022-09-13T09:30:06,BAIXA,FALHA_SISTEMATICA_JIG_ETAPA,15 falhas em 30 tentativas no jig.,Parar ou isolar o jig e abrir manutenção se a recorrência persistir.,PENDENTE,,,,
A4CDF3BB68E3,2022-09-13T09:30:06,ALTA,QUEDA_QUALIDADE_FIRMWARE,"FPY 74.22%, baseline 90.91%, PPM 257812, seriais 128.",Bloquear ou revisar lote de firmware antes de continuar a produção.,PENDENTE,,,,
C65E8FAE9989,2022-09-13T09:30:06,BAIXA,QUEDA_QUALIDADE_FIRMWARE,"FPY 75.29%, baseline 91.25%, PPM 247059, seriais 85.",Bloquear ou revisar lote de firmware antes de continuar a produção.,PENDENTE,,,,
D08AE53951EA,2022-09-13T09:30:06,BAIXA,QUEDA_QUALIDADE_FIRMWARE,"FPY 82.76%, baseline 91.55%, PPM 172414, seriais 58.",Bloquear ou revisar lote de firmware antes de continuar a produção.,PENDENTE,,,,
E43896B4549D,2022-09-13T09:45:06,ALTA,QUEDA_QUALIDADE_FIRMWARE,"FPY 67.74%, baseline 91.25%, PPM 322581, seriais 93.",Bloquear ou revisar lote de firmware antes de continuar a produção.,PENDENTE,,,,
71B78C4BFFD9,2022-09-13T10:15:06,ALTA,FALHA_SISTEMATICA_JIG_ETAPA,34 falhas em 40 tentativas no jig.,Parar ou isolar o jig e abrir manutenção se a recorrência persistir.,PENDENTE,,,,
491511DD9BC9,2022-09-13T10:30:06,BAIXA,DRIFT_CYCLE_TIME,P95 total 297.4s contra baseline 234.0s.,Investigar gargalo de ciclo e correlacionar com falhas ou paradas.,PENDENTE,,,,
A171D5C57E4A,2022-09-13T10:45:06,BAIXA,DRIFT_CYCLE_TIME_ETAPA,P95 de wifi_cal_cycle_s em 43.9s contra baseline 34.0s.,Inspecionar etapa com aumento de tempo de ciclo.,PENDENTE,,,,
C4D5B3117280,2022-09-13T11:00:06,BAIXA,FALHA_SISTEMATICA_JIG_ETAPA,11 falhas em 33 tentativas no jig.,Parar ou isolar o jig e abrir manutenção se a recorrência persistir.,PENDENTE,,,,
44B526B079A7,2022-09-13T13:00:06,BAIXA,FALHA_SISTEMATICA_JIG_ETAPA,18 falhas em 31 tentativas no jig.,Parar ou isolar o jig e abrir manutenção se a recorrência persistir.,PENDENTE,,,,
A4D80B82FD01,2022-09-13T13:15:06,ALTA,FALHA_SISTEMATICA_JIG_ETAPA,13 falhas em 30 tentativas no jig.,Parar ou isolar o jig e abrir manutenção se a recorrência persistir.,PENDENTE,,,,
2F57CFFAE683,2022-09-13T14:45:06,BAIXA,QUEDA_QUALIDADE_FIRMWARE,"FPY 83.49%, baseline 93.10%, PPM 165138, seriais 109.",Bloquear ou revisar lote de firmware antes de continuar a produção.,PENDENTE,,,,
9454B39F1EDB,2022-09-13T15:45:06,ALTA,MAC_DUPLICADO,"MAC AC:5A:14:76:EF:FF aparece em 2 seriais: SN100220912080687, SN400220913081827.",Bloquear liberação dos seriais e revisar provisionamento de MAC.,PENDENTE,,,,
A3F4DC165E5C,2022-09-13T17:30:06,BAIXA,QUEDA_QUALIDADE_FIRMWARE,"FPY 81.48%, baseline 90.91%, PPM 185185, seriais 81.",Bloquear ou revisar lote de firmware antes de continuar a produção.,PENDENTE,,,,
CBACC364D652,2022-09-13T17:30:06,BAIXA,QUEDA_QUALIDADE_FIRMWARE,"FPY 82.00%, baseline 91.55%, PPM 180000, seriais 50.",Bloquear ou revisar lote de firmware antes de continuar a produção.,PENDENTE,,,,
75DE0E95B3D8,2022-09-13T17:45:06,BAIXA,QUEDA_QUALIDADE_FIRMWARE,"FPY 80.58%, baseline 91.25%, PPM 194175, seriais 103.",Bloquear ou revisar lote de firmware antes de continuar a produção.,PENDENTE,,,,
5D77BCA2C6A4,2022-09-13T19:30:06,BAIXA,QUEDA_QUALIDADE_FIRMWARE,"FPY 81.74%, baseline 90.91%, PPM 182609, seriais 115.",Bloquear ou revisar lote de firmware antes de continuar a produção.,PENDENTE,,,,
8E92F7F846D1,2022-09-13T19:30:06,ALTA,ERRO_CRITICO_RECORRENTE,18 ocorrencias de ERR_MD5 em 357 tentativas.,Validar integridade dos artefatos de firmware e checksums.,PENDENTE,,,,
14F588845021,2022-09-13T20:00:06,BAIXA,QUEDA_QUALIDADE_FIRMWARE,"FPY 81.93%, baseline 93.10%, PPM 180723, seriais 83.",Bloquear ou revisar lote de firmware antes de continuar a produção.,PENDENTE,,,,
EBE2E1330C35,2022-09-13T20:00:06,BAIXA,QUEDA_QUALIDADE_FIRMWARE,"FPY 74.51%, baseline 91.55%, PPM 254902, seriais 51.",Bloquear ou revisar lote de firmware antes de continuar a produção.,PENDENTE,,,,
38FF4A1AB236,2022-09-13T20:15:06,BAIXA,QUEDA_QUALIDADE_FIRMWARE,"FPY 82.86%, baseline 90.91%, PPM 171429, seriais 105.",Bloquear ou revisar lote de firmware antes de continuar a produção.,PENDENTE,,,,
6F7B22828ADB,2022-09-13T20:15:06,ALTA,ERRO_CRITICO_RECORRENTE,19 ocorrencias de ERR_MD5 em 337 tentativas.,Validar integridade dos artefatos de firmware e checksums.,PENDENTE,,,,
FB071CA47DCE,2022-09-13T20:45:06,BAIXA,QUEDA_QUALIDADE_FIRMWARE,"FPY 82.93%, baseline 91.25%, PPM 170732, seriais 82.",Bloquear ou revisar lote de firmware antes de continuar a produção.,PENDENTE,,,,
B338E1EE23B2,2022-09-13T21:00:06,BAIXA,FALHA_SISTEMATICA_JIG_ETAPA,15 falhas em 30 tentativas no jig.,Parar ou isolar o jig e abrir manutenção se a recorrência persistir.,PENDENTE,,,,
D194B6B2C7B7,2022-09-13T21:30:06,BAIXA,QUEDA_QUALIDADE_FIRMWARE,"FPY 85.00%, baseline 93.10%, PPM 150000, seriais 100.",Bloquear ou revisar lote de firmware antes de continuar a produção.,PENDENTE,,,,
9FC44A904643,2022-09-13T22:00:06,BAIXA,QUEDA_QUALIDADE_FIRMWARE,"FPY 81.48%, baseline 91.55%, PPM 185185, seriais 54.",Bloquear ou revisar lote de firmware antes de continuar a produção.,PENDENTE,,,,
566C48822F56,2022-09-13T22:15:06,BAIXA,DRIFT_CYCLE_TIME,P95 total 304.6s contra baseline 233.4s.,Investigar gargalo de ciclo e correlacionar com falhas ou paradas.,PENDENTE,,,,
3FD5FFB43F91,2022-09-14T06:15:06,ALTA,MAC_DUPLICADO,"MAC AC:5A:14:00:84:56 aparece em 2 seriais: SN100220912082846, SN200220913077580.",Bloquear liberação dos seriais e revisar provisionamento de MAC.,PENDENTE,,,,
29657A2C930E,2022-09-14T06:15:06,ALTA,MAC_DUPLICADO,"MAC AC:5A:14:76:EF:FF aparece em 2 seriais: SN100220912080687, SN400220913081827.",Bloquear liberação dos seriais e revisar provisionamento de MAC.,PENDENTE,,,,
D3C47F7A2238,2022-09-14T06:15:06,ALTA,MAC_DUPLICADO,"MAC AC:5A:14:96:41:19 aparece em 2 seriais: SN100220914078211, SN300220913081680.",Bloquear liberação dos seriais e revisar provisionamento de MAC.,PENDENTE,,,,
28919A9E5963,2022-09-14T06:15:06,ALTA,MAC_DUPLICADO,"MAC AC:5A:14:FF:FF:FF aparece em 45 seriais: SN100220912071340, SN100220912071637, SN100220912071766, SN100220912072138, SN100220912072498.",Bloquear liberação dos seriais e revisar provisionamento de MAC.,PENDENTE,,,,
AF5F7EA4022E,2022-09-14T07:15:06,ALTA,MAC_DUPLICADO,"MAC AC:5A:14:65:F4:CC aparece em 2 seriais: SN200220914083271, SN300220912077688.",Bloquear liberação dos seriais e revisar provisionamento de MAC.,PENDENTE,,,,
DB001C294846,2022-09-14T07:45:06,BAIXA,QUEDA_QUALIDADE_FIRMWARE,"FPY 84.17%, baseline 93.10%, PPM 158333, seriais 120.",Bloquear ou revisar lote de firmware antes de continuar a produção.,PENDENTE,,,,
C6C3D2DBFD8A,2022-09-14T11:30:06,BAIXA,QUEDA_QUALIDADE_FIRMWARE,"FPY 81.82%, baseline 93.10%, PPM 181818, seriais 88.",Bloquear ou revisar lote de firmware antes de continuar a produção.,PENDENTE,,,,
7758E4FF25A9,2022-09-14T11:30:06,BAIXA,QUEDA_QUALIDADE_FIRMWARE,"FPY 81.13%, baseline 91.55%, PPM 188679, seriais 53.",Bloquear ou revisar lote de firmware antes de continuar a produção.,PENDENTE,,,,
3D433374E07A,2022-09-14T11:45:06,ALTA,QUEDA_QUALIDADE_FIRMWARE,"FPY 73.91%, baseline 93.10%, PPM 260870, seriais 92.",Bloquear ou revisar lote de firmware antes de continuar a produção.,PENDENTE,,,,
C5CB291878A5,2022-09-14T11:45:06,ALTA,QUEDA_QUALIDADE_FIRMWARE,"FPY 73.58%, baseline 91.55%, PPM 264151, seriais 53.",Bloquear ou revisar lote de firmware antes de continuar a produção.,PENDENTE,,,,
59908456E834,2022-09-14T11:45:06,ALTA,ERRO_CRITICO_RECORRENTE,19 ocorrencias de ERR_MD5 em 372 tentativas.,Validar integridade dos artefatos de firmware e checksums.,PENDENTE,,,,
ABBD49896691,2022-09-14T12:00:06,BAIXA,QUEDA_QUALIDADE_FIRMWARE,"FPY 80.43%, baseline 91.25%, PPM 195652, seriais 92.",Bloquear ou revisar lote de firmware antes de continuar a produção.,PENDENTE,,,,
DD95E3714D66,2022-09-14T15:45:06,BAIXA,QUEDA_QUALIDADE_FIRMWARE,"FPY 84.96%, baseline 93.10%, PPM 150442, seriais 113.",Bloquear ou revisar lote de firmware antes de continuar a produção.,PENDENTE,,,,
CC58C0D63C79,2022-09-14T16:15:06,BAIXA,QUEDA_QUALIDADE_FIRMWARE,"FPY 78.41%, baseline 91.25%, PPM 215909, seriais 88.",Bloquear ou revisar lote de firmware antes de continuar a produção.,PENDENTE,,,,
54443B1815BA,2022-09-14T16:15:06,ALTA,ERRO_CRITICO_RECORRENTE,19 ocorrencias de ERR_MD5 em 360 tentativas.,Validar integridade dos artefatos de firmware e checksums.,PENDENTE,,,,
CDFD6CB905FC,2022-09-14T16:45:06,ALTA,MAC_DUPLICADO,"MAC AC:5A:14:94:36:8E aparece em 2 seriais: SN100220914071148, SN200220912078445.",Bloquear liberação dos seriais e revisar provisionamento de MAC.,PENDENTE,,,,
CED2085FF2B6,2022-09-14T17:00:06,BAIXA,QUEDA_QUALIDADE_FIRMWARE,"FPY 83.02%, baseline 91.55%, PPM 169811, seriais 53.",Bloquear ou revisar lote de firmware antes de continuar a produção.,PENDENTE,,,,
9AB57DF7FFB8,2022-09-14T18:00:06,BAIXA,QUEDA_QUALIDADE_FIRMWARE,"FPY 81.13%, baseline 91.55%, PPM 188679, seriais 53.",Bloquear ou revisar lote de firmware antes de continuar a produção.,PENDENTE,,,,
3FB0D2A89E7C,2022-09-14T19:30:06,BAIXA,QUEDA_QUALIDADE_FIRMWARE,"FPY 80.70%, baseline 91.55%, PPM 192982, seriais 57.",Bloquear ou revisar lote de firmware antes de continuar a produção.,PENDENTE,,,,
87D685FA388D,2022-09-14T21:00:06,BAIXA,QUEDA_QUALIDADE_FIRMWARE,"FPY 76.47%, baseline 91.55%, PPM 235294, seriais 51.",Bloquear ou revisar lote de firmware antes de continuar a produção.,PENDENTE,,,,
5B689CF71DE8,2022-09-14T21:45:06,BAIXA,QUEDA_QUALIDADE_FIRMWARE,"FPY 83.90%, baseline 93.10%, PPM 161017, seriais 118.",Bloquear ou revisar lote de firmware antes de continuar a produção.,PENDENTE,,,,
DFF195C8B441,2022-09-14T21:45:06,BAIXA,QUEDA_QUALIDADE_FIRMWARE,"FPY 76.00%, baseline 91.55%, PPM 240000, seriais 50.",Bloquear ou revisar lote de firmware antes de continuar a produção.,PENDENTE,,,,
FAF99AF707C5,2022-09-14T22:15:06,BAIXA,QUEDA_QUALIDADE_FIRMWARE,"FPY 78.79%, baseline 90.91%, PPM 212121, seriais 66.",Bloquear ou revisar lote de firmware antes de continuar a produção.,PENDENTE,,,,
143137DBBF82,2022-09-14T22:30:06,ALTA,QUEDA_QUALIDADE_FIRMWARE,"FPY 76.12%, baseline 93.10%, PPM 238806, seriais 67.",Bloquear ou revisar lote de firmware antes de continuar a produção.,PENDENTE,,,,
