alert_id,created_at,window_start,window_end,tipo_alerta,severidade,line,station,jig_id,model,firmware_version,failed_step,error_code,metrica,valor_observado,limiar,evidencia,acao_sugerida,hitl_required,status
8ED5421A4043,2022-09-12T20:45:06,2022-09-12T19:45:06,2022-09-12T20:45:06,QUEDA_QUALIDADE_FIRMWARE,BAIXA,,,,STB-300,v4.1.2,,,fpy_firmware,0.8260869565217391,queda >= 8.00% ou PPM >= 180000,"FPY 82.61%, baseline 91.25%, PPM 173913, seriais 92.",Bloquear ou revisar lote de firmware antes de continuar a produção.,True,REVISAO_AMBIGUA
E7F8D78BF4DD,2022-09-12T21:00:06,2022-09-12T20:00:06,2022-09-12T21:00:06,FALHA_SISTEMATICA_JIG_ETAPA,ALTA,L4,L4-ST2,JIG-L4-ST2-1,,,drm_keys,ERR_DRM,taxa_falha_jig_etapa,0.45161290322580644,">= 15.00%, falhas >= 5",14 falhas em 31 tentativas no jig.,Parar ou isolar o jig e abrir manutenção se a recorrência persistir.,True,ALERTA_CONFIRMADO
DAE776D7CE17,2022-09-12T21:00:06,2022-09-12T20:00:06,2022-09-12T21:00:06,QUEDA_QUALIDADE_FIRMWARE,BAIXA,,,,STB-400,v4.1.2,,,fpy_firmware,0.8301886792452831,queda >= 8.00% ou PPM >= 180000,"FPY 83.02%, baseline 91.55%, PPM 169811, seriais 53.",Bloquear ou revisar lote de firmware antes de continuar a produção.,True,REVISAO_AMBIGUA
AE623D380021,2022-09-12T21:15:06,2022-09-12T20:15:06,2022-09-12T21:15:06,QUEDA_QUALIDADE_FIRMWARE,BAIXA,,,,STB-200,v4.1.2,,,fpy_firmware,0.8426966292134831,queda >= 8.00% ou PPM >= 180000,"FPY 84.27%, baseline 93.10%, PPM 157303, seriais 89.",Bloquear ou revisar lote de firmware antes de continuar a produção.,True,REVISAO_AMBIGUA
D53363A842BD,2022-09-12T21:15:06,2022-09-12T20:15:06,2022-09-12T21:15:06,DRIFT_CYCLE_TIME,BAIXA,,,,STB-400,,,,p95_total_cycle_s,297.9399999999999,> 291.8s,P95 total 297.9s contra baseline 233.4s.,Investigar gargalo de ciclo e correlacionar com falhas ou paradas.,True,REVISAO_AMBIGUA
E707B6C5FF6D,2022-09-12T21:30:06,2022-09-12T20:30:06,2022-09-12T21:30:06,DRIFT_CYCLE_TIME,MEDIA,,,,STB-400,,,,p95_total_cycle_s,328.60999999999996,> 291.8s,P95 total 328.6s contra baseline 233.4s.,Investigar gargalo de ciclo e correlacionar com falhas ou paradas.,False,ALERTA_CONFIRMADO
8C00AA1F8EB3,2022-09-12T22:00:06,2022-09-12T21:00:06,2022-09-12T22:00:06,QUEDA_QUALIDADE_FIRMWARE,BAIXA,,,,STB-300,v4.1.2,,,fpy_firmware,0.8169014084507042,queda >= 8.00% ou PPM >= 180000,"FPY 81.69%, baseline 91.25%, PPM 183099, seriais 71.",Bloquear ou revisar lote de firmware antes de continuar a produção.,True,REVISAO_AMBIGUA
99D32560D3C5,2022-09-12T22:00:06,2022-09-12T21:00:06,2022-09-12T22:00:06,QUEDA_QUALIDADE_FIRMWARE,BAIXA,,,,STB-400,v4.1.2,,,fpy_firmware,0.8305084745762712,queda >= 8.00% ou PPM >= 180000,"FPY 83.05%, baseline 91.55%, PPM 169492, seriais 59.",Bloquear ou revisar lote de firmware antes de continuar a produção.,True,REVISAO_AMBIGUA
66A6420300A2,2022-09-12T22:15:06,2022-09-12T21:15:06,2022-09-12T22:15:06,QUEDA_QUALIDADE_FIRMWARE,BAIXA,,,,STB-200,v4.1.2,,,fpy_firmware,0.85,queda >= 8.00% ou PPM >= 180000,"FPY 85.00%, baseline 93.10%, PPM 150000, seriais 80.",Bloquear ou revisar lote de firmware antes de continuar a produção.,True,REVISAO_AMBIGUA
5A2F0997E92D,2022-09-12T22:15:06,2022-09-12T21:15:06,2022-09-12T22:15:06,QUEDA_QUALIDADE_FIRMWARE,MEDIA,,,,STB-300,v4.1.2,,,fpy_firmware,0.7818181818181819,queda >= 8.00% ou PPM >= 180000,"FPY 78.18%, baseline 91.25%, PPM 218182, seriais 55.",Bloquear ou revisar lote de firmware antes de continuar a produção.,False,ALERTA_CONFIRMADO
66083448114E,2022-09-12T22:30:06,2022-09-12T21:30:06,2022-09-12T22:30:06,ERRO_CRITICO_RECORRENTE,ALTA,,,,,,,ERR_MD5,taxa_erro_critico,0.05405405405405406,">= 5.00%, falhas >= 4",10 ocorrencias de ERR_MD5 em 185 tentativas.,Validar integridade dos artefatos de firmware e checksums.,True,ALERTA_CONFIRMADO
A98918C51308,2022-09-13T06:00:06,2022-09-13T05:00:06,2022-09-13T06:00:06,MAC_DUPLICADO,ALTA,,,,,,,,seriais_por_mac,45.0,> 1 serial por MAC,"MAC AC:5A:14:FF:FF:FF aparece em 45 seriais: SN100220912071340, SN100220912071637, SN100220912071766, SN100220912072138, SN100220912072498.",Bloquear liberação dos seriais e revisar provisionamento de MAC.,True,ALERTA_CONFIRMADO
460C636F106D,2022-09-13T06:15:06,2022-09-13T05:15:06,2022-09-13T06:15:06,ERRO_CRITICO_RECORRENTE,BAIXA,,,,,,,ERR_GLITCH,taxa_erro_critico,0.05128205128205128,">= 5.00%, falhas >= 4",4 ocorrencias de ERR_GLITCH em 78 tentativas.,Acompanhar recorrência; tratar como ruído se isolado.,True,REVISAO_AMBIGUA
1B48AC90C269,2022-09-13T07:45:06,2022-09-13T06:45:06,2022-09-13T07:45:06,MAC_DUPLICADO,ALTA,,,,,,,,seriais_por_mac,2.0,> 1 serial por MAC,"MAC AC:5A:14:00:84:56 aparece em 2 seriais: SN100220912082846, SN200220913077580.",Bloquear liberação dos seriais e revisar provisionamento de MAC.,True,ALERTA_CONFIRMADO
FBC559F56ADA,2022-09-13T08:15:06,2022-09-13T07:15:06,2022-09-13T08:15:06,QUEDA_QUALIDADE_FIRMWARE,BAIXA,,,,STB-200,v4.1.2,,,fpy_firmware,0.848,queda >= 8.00% ou PPM >= 180000,"FPY 84.80%, baseline 93.10%, PPM 152000, seriais 125.",Bloquear ou revisar lote de firmware antes de continuar a produção.,True,REVISAO_AMBIGUA
DB43501924A4,2022-09-13T08:30:06,2022-09-13T07:30:06,2022-09-13T08:30:06,QUEDA_QUALIDADE_FIRMWARE,MEDIA,,,,STB-200,v4.1.2,,,fpy_firmware,0.8376068376068376,queda >= 8.00% ou PPM >= 180000,"FPY 83.76%, baseline 93.10%, PPM 162393, seriais 117.",Bloquear ou revisar lote de firmware antes de continuar a produção.,False,ALERTA_CONFIRMADO
9DD3F66675F9,2022-09-13T09:15:06,2022-09-13T08:15:06,2022-09-13T09:15:06,FALHA_SISTEMATICA_JIG_ETAPA,BAIXA,L2,L2-ST1,JIG-L2-ST1-1,,,fw_download,ERR_AUTH,taxa_falha_jig_etapa,0.23333333333333334,">= 15.00%, falhas >= 5",7 falhas em 30 tentativas no jig.,Parar ou isolar o jig e abrir manutenção se a recorrência persistir.,True,REVISAO_AMBIGUA
04A32309B552,2022-09-13T09:15:06,2022-09-13T08:15:06,2022-09-13T09:15:06,FALHA_SISTEMATICA_JIG_ETAPA,BAIXA,L2,L2-ST2,JIG-L2-ST2-1,,,fw_download,ERR_AUTH,taxa_falha_jig_etapa,0.16129032258064516,">= 15.00%, falhas >= 5",5 falhas em 31 tentativas no jig.,Parar ou isolar o jig e abrir manutenção se a recorrência persistir.,True,REVISAO_AMBIGUA
142BC155F4FC,2022-09-13T09:15:06,2022-09-13T08:15:06,2022-09-13T09:15:06,QUEDA_QUALIDADE_FIRMWARE,BAIXA,,,,STB-100,v4.1.2,,,fpy_firmware,0.825,queda >= 8.00% ou PPM >= 180000,"FPY 82.50%, baseline 90.91%, PPM 175000, seriais 120.",Bloquear ou revisar lote de firmware antes de continuar a produção.,True,REVISAO_AMBIGUA
04CD6BA30A1C,2022-09-13T09:15:06,2022-09-13T08:15:06,2022-09-13T09:15:06,ERRO_CRITICO_RECORRENTE,ALTA,,,,,,,ERR_AUTH,taxa_erro_critico,0.059895833333333336,">= 5.00%, falhas >= 4",23 ocorrencias de ERR_AUTH em 384 tentativas.,Renovar ou validar API key antes de continuar o lote.,True,ALERTA_CONFIRMADO
C15F0B5CD2B8,2022-09-13T09:30:06,2022-09-13T08:30:06,2022-09-13T09:30:06,FALHA_SISTEMATICA_JIG_ETAPA,ALTA,L2,L2-ST1,JIG-L2-ST1-1,,,fw_download,ERR_AUTH,taxa_falha_jig_etapa,0.45161290322580644,">= 15.00%, falhas >= 5",14 falhas em 31 tentativas no jig.,Parar ou isolar o jig e abrir manutenção se a recorrência persistir.,True,ALERTA_CONFIRMADO
B2F5F84D9303,2022-09-13T09:30:06,2022-09-13T08:30:06,2022-09-13T09:30:06,FALHA_SISTEMATICA_JIG_ETAPA,ALTA,L2,L2-ST2,JIG-L2-ST2-1,,,fw_download,ERR_AUTH,taxa_falha_jig_etapa,0.47058823529411764,">= 15.00%, falhas >= 5",16 falhas em 34 tentativas no jig.,Parar ou isolar o jig e abrir manutenção se a recorrência persistir.,True,ALERTA_CONFIRMADO
08D7B91863C3,2022-09-13T09:30:06,2022-09-13T08:30:06,2022-09-13T09:30:06,FALHA_SISTEMATICA_JIG_ETAPA,BAIXA,L2,L2-ST2,JIG-L2-ST2-2,,,fw_download,ERR_AUTH,taxa_falha_jig_etapa,0.5,">= 15.00%, falhas >= 5",15 falhas em 30 tentativas no jig.,Parar ou isolar o jig e abrir manutenção se a recorrência persistir.,True,REVISAO_AMBIGUA
A4CDF3BB68E3,2022-09-13T09:30:06,2022-09-13T08:30:06,2022-09-13T09:30:06,QUEDA_QUALIDADE_FIRMWARE,ALTA,,,,STB-100,v4.1.2,,,fpy_firmware,0.7421875,queda >= 8.00% ou PPM >= 180000,"FPY 74.22%, baseline 90.91%, PPM 257812, seriais 128.",Bloquear ou revisar lote de firmware antes de continuar a produção.,True,ALERTA_CONFIRMADO
C65E8FAE9989,2022-09-13T09:30:06,2022-09-13T08:30:06,2022-09-13T09:30:06,QUEDA_QUALIDADE_FIRMWARE,BAIXA,,,,STB-300,v4.1.2,,,fpy_firmware,0.7529411764705882,queda >= 8.00% ou PPM >= 180000,"FPY 75.29%, baseline 91.25%, PPM 247059, seriais 85.",Bloquear ou revisar lote de firmware antes de continuar a produção.,True,REVISAO_AMBIGUA
D08AE53951EA,2022-09-13T09:30:06,2022-09-13T08:30:06,2022-09-13T09:30:06,QUEDA_QUALIDADE_FIRMWARE,BAIXA,,,,STB-400,v4.1.2,,,fpy_firmware,0.8275862068965517,queda >= 8.00% ou PPM >= 180000,"FPY 82.76%, baseline 91.55%, PPM 172414, seriais 58.",Bloquear ou revisar lote de firmware antes de continuar a produção.,True,REVISAO_AMBIGUA
E43896B4549D,2022-09-13T09:45:06,2022-09-13T08:45:06,2022-09-13T09:45:06,QUEDA_QUALIDADE_FIRMWARE,ALTA,,,,STB-300,v4.1.2,,,fpy_firmware,0.6774193548387096,queda >= 8.00% ou PPM >= 180000,"FPY 67.74%, baseline 91.25%, PPM 322581, seriais 93.",Bloquear ou revisar lote de firmware antes de continuar a produção.,True,ALERTA_CONFIRMADO
E03316D9ACA7,2022-09-13T09:45:06,2022-09-13T08:45:06,2022-09-13T09:45:06,QUEDA_QUALIDADE_FIRMWARE,MEDIA,,,,STB-400,v4.1.2,,,fpy_firmware,0.8113207547169812,queda >= 8.00% ou PPM >= 180000,"FPY 81.13%, baseline 91.55%, PPM 188679, seriais 53.",Bloquear ou revisar lote de firmware antes de continuar a produção.,False,ALERTA_CONFIRMADO
71B78C4BFFD9,2022-09-13T10:15:06,2022-09-13T09:15:06,2022-09-13T10:15:06,FALHA_SISTEMATICA_JIG_ETAPA,ALTA,L2,L2-ST2,JIG-L2-ST2-2,,,fw_download,ERR_AUTH,taxa_falha_jig_etapa,0.85,">= 15.00%, falhas >= 5",34 falhas em 40 tentativas no jig.,Parar ou isolar o jig e abrir manutenção se a recorrência persistir.,True,ALERTA_CONFIRMADO
491511DD9BC9,2022-09-13T10:30:06,2022-09-13T09:30:06,2022-09-13T10:30:06,DRIFT_CYCLE_TIME,BAIXA,,,,STB-300,,,,p95_total_cycle_s,297.4499999999997,> 292.5s,P95 total 297.4s contra baseline 234.0s.,Investigar gargalo de ciclo e correlacionar com falhas ou paradas.,True,REVISAO_AMBIGUA
A171D5C57E4A,2022-09-13T10:45:06,2022-09-13T09:45:06,2022-09-13T10:45:06,DRIFT_CYCLE_TIME_ETAPA,BAIXA,,,,,,wifi_cal,,p95_step_cycle_s,43.9,> 42.5s,P95 de wifi_cal_cycle_s em 43.9s contra baseline 34.0s.,Inspecionar etapa com aumento de tempo de ciclo.,True,REVISAO_AMBIGUA
C4D5B3117280,2022-09-13T11:00:06,2022-09-13T10:00:06,2022-09-13T11:00:06,FALHA_SISTEMATICA_JIG_ETAPA,BAIXA,L2,L2-ST1,JIG-L2-ST1-2,,,fw_download,ERR_AUTH,taxa_falha_jig_etapa,0.3333333333333333,">= 15.00%, falhas >= 5",11 falhas em 33 tentativas no jig.,Parar ou isolar o jig e abrir manutenção se a recorrência persistir.,True,REVISAO_AMBIGUA
1F99DE69A441,2022-09-13T11:00:06,2022-09-13T10:00:06,2022-09-13T11:00:06,DRIFT_CYCLE_TIME_ETAPA,MEDIA,,,,,,wifi_cal,,p95_step_cycle_s,46.81499999999998,> 42.5s,P95 de wifi_cal_cycle_s em 46.8s contra baseline 34.0s.,Inspecionar etapa com aumento de tempo de ciclo.,False,ALERTA_CONFIRMADO
44B526B079A7,2022-09-13T13:00:06,2022-09-13T12:00:06,2022-09-13T13:00:06,FALHA_SISTEMATICA_JIG_ETAPA,BAIXA,L3,L3-ST2,JIG-L3-ST2-2,,,rootfs,ERR_MD5,taxa_falha_jig_etapa,0.5806451612903226,">= 15.00%, falhas >= 5",18 falhas em 31 tentativas no jig.,Parar ou isolar o jig e abrir manutenção se a recorrência persistir.,True,REVISAO_AMBIGUA
A4D80B82FD01,2022-09-13T13:15:06,2022-09-13T12:15:06,2022-09-13T13:15:06,FALHA_SISTEMATICA_JIG_ETAPA,ALTA,L3,L3-ST2,JIG-L3-ST2-2,,,rootfs,ERR_MD5,taxa_falha_jig_etapa,0.43333333333333335,">= 15.00%, falhas >= 5",13 falhas em 30 tentativas no jig.,Parar ou isolar o jig e abrir manutenção se a recorrência persistir.,True,ALERTA_CONFIRMADO
2F57CFFAE683,2022-09-13T14:45:06,2022-09-13T13:45:06,2022-09-13T14:45:06,QUEDA_QUALIDADE_FIRMWARE,BAIXA,,,,STB-200,v4.1.2,,,fpy_firmware,0.8348623853211009,queda >= 8.00% ou PPM >= 180000,"FPY 83.49%, baseline 93.10%, PPM 165138, seriais 109.",Bloquear ou revisar lote de firmware antes de continuar a produção.,True,REVISAO_AMBIGUA
ACE21920A338,2022-09-13T15:00:06,2022-09-13T14:00:06,2022-09-13T15:00:06,QUEDA_QUALIDADE_FIRMWARE,MEDIA,,,,STB-200,v4.1.2,,,fpy_firmware,0.7913043478260869,queda >= 8.00% ou PPM >= 180000,"FPY 79.13%, baseline 93.10%, PPM 208696, seriais 115.",Bloquear ou revisar lote de firmware antes de continuar a produção.,False,ALERTA_CONFIRMADO
9454B39F1EDB,2022-09-13T15:45:06,2022-09-13T14:45:06,2022-09-13T15:45:06,MAC_DUPLICADO,ALTA,,,,,,,,seriais_por_mac,2.0,> 1 serial por MAC,"MAC AC:5A:14:76:EF:FF aparece em 2 seriais: SN100220912080687, SN400220913081827.",Bloquear liberação dos seriais e revisar provisionamento de MAC.,True,ALERTA_CONFIRMADO
A3F4DC165E5C,2022-09-13T17:30:06,2022-09-13T16:30:06,2022-09-13T17:30:06,QUEDA_QUALIDADE_FIRMWARE,BAIXA,,,,STB-100,v4.1.2,,,fpy_firmware,0.8148148148148148,queda >= 8.00% ou PPM >= 180000,"FPY 81.48%, baseline 90.91%, PPM 185185, seriais 81.",Bloquear ou revisar lote de firmware antes de continuar a produção.,True,REVISAO_AMBIGUA
CBACC364D652,2022-09-13T17:30:06,2022-09-13T16:30:06,2022-09-13T17:30:06,QUEDA_QUALIDADE_FIRMWARE,BAIXA,,,,STB-400,v4.1.2,,,fpy_firmware,0.82,queda >= 8.00% ou PPM >= 180000,"FPY 82.00%, baseline 91.55%, PPM 180000, seriais 50.",Bloquear ou revisar lote de firmware antes de continuar a produção.,True,REVISAO_AMBIGUA
F18392BC052F,2022-09-13T17:45:06,2022-09-13T16:45:06,2022-09-13T17:45:06,QUEDA_QUALIDADE_FIRMWARE,MEDIA,,,,STB-100,v4.1.2,,,fpy_firmware,0.7974683544303798,queda >= 8.00% ou PPM >= 180000,"FPY 79.75%, baseline 90.91%, PPM 202532, seriais 79.",Bloquear ou revisar lote de firmware antes de continuar a produção.,False,ALERTA_CONFIRMADO
75DE0E95B3D8,2022-09-13T17:45:06,2022-09-13T16:45:06,2022-09-13T17:45:06,QUEDA_QUALIDADE_FIRMWARE,BAIXA,,,,STB-300,v4.1.2,,,fpy_firmware,0.8058252427184466,queda >= 8.00% ou PPM >= 180000,"FPY 80.58%, baseline 91.25%, PPM 194175, seriais 103.",Bloquear ou revisar lote de firmware antes de continuar a produção.,True,REVISAO_AMBIGUA
2D4C66A1746E,2022-09-13T18:00:06,2022-09-13T17:00:06,2022-09-13T18:00:06,QUEDA_QUALIDADE_FIRMWARE,MEDIA,,,,STB-300,v4.1.2,,,fpy_firmware,0.8,queda >= 8.00% ou PPM >= 180000,"FPY 80.00%, baseline 91.25%, PPM 200000, seriais 95.",Bloquear ou revisar lote de firmware antes de continuar a produção.,False,ALERTA_CONFIRMADO
2E38023735A8,2022-09-13T18:15:06,2022-09-13T17:15:06,2022-09-13T18:15:06,QUEDA_QUALIDADE_FIRMWARE,MEDIA,,,,STB-400,v4.1.2,,,fpy_firmware,0.8214285714285714,queda >= 8.00% ou PPM >= 180000,"FPY 82.14%, baseline 91.55%, PPM 178571, seriais 56.",Bloquear ou revisar lote de firmware antes de continuar a produção.,False,ALERTA_CONFIRMADO
5D77BCA2C6A4,2022-09-13T19:30:06,2022-09-13T18:30:06,2022-09-13T19:30:06,QUEDA_QUALIDADE_FIRMWARE,BAIXA,,,,STB-100,v4.1.2,,,fpy_firmware,0.8173913043478261,queda >= 8.00% ou PPM >= 180000,"FPY 81.74%, baseline 90.91%, PPM 182609, seriais 115.",Bloquear ou revisar lote de firmware antes de continuar a produção.,True,REVISAO_AMBIGUA
8E92F7F846D1,2022-09-13T19:30:06,2022-09-13T18:30:06,2022-09-13T19:30:06,ERRO_CRITICO_RECORRENTE,ALTA,,,,,,,ERR_MD5,taxa_erro_critico,0.05042016806722689,">= 5.00%, falhas >= 4",18 ocorrencias de ERR_MD5 em 357 tentativas.,Validar integridade dos artefatos de firmware e checksums.,True,ALERTA_CONFIRMADO
14F588845021,2022-09-13T20:00:06,2022-09-13T19:00:06,2022-09-13T20:00:06,QUEDA_QUALIDADE_FIRMWARE,BAIXA,,,,STB-200,v4.1.2,,,fpy_firmware,0.8192771084337349,queda >= 8.00% ou PPM >= 180000,"FPY 81.93%, baseline 93.10%, PPM 180723, seriais 83.",Bloquear ou revisar lote de firmware antes de continuar a produção.,True,REVISAO_AMBIGUA
EBE2E1330C35,2022-09-13T20:00:06,2022-09-13T19:00:06,2022-09-13T20:00:06,QUEDA_QUALIDADE_FIRMWARE,BAIXA,,,,STB-400,v4.1.2,,,fpy_firmware,0.7450980392156863,queda >= 8.00% ou PPM >= 180000,"FPY 74.51%, baseline 91.55%, PPM 254902, seriais 51.",Bloquear ou revisar lote de firmware antes de continuar a produção.,True,REVISAO_AMBIGUA
38FF4A1AB236,2022-09-13T20:15:06,2022-09-13T19:15:06,2022-09-13T20:15:06,QUEDA_QUALIDADE_FIRMWARE,BAIXA,,,,STB-100,v4.1.2,,,fpy_firmware,0.8285714285714286,queda >= 8.00% ou PPM >= 180000,"FPY 82.86%, baseline 90.91%, PPM 171429, seriais 105.",Bloquear ou revisar lote de firmware antes de continuar a produção.,True,REVISAO_AMBIGUA
AE48BA94FB85,2022-09-13T20:15:06,2022-09-13T19:15:06,2022-09-13T20:15:06,QUEDA_QUALIDADE_FIRMWARE,MEDIA,,,,STB-200,v4.1.2,,,fpy_firmware,0.8279569892473119,queda >= 8.00% ou PPM >= 180000,"FPY 82.80%, baseline 93.10%, PPM 172043, seriais 93.",Bloquear ou revisar lote de firmware antes de continuar a produção.,False,ALERTA_CONFIRMADO
6F7B22828ADB,2022-09-13T20:15:06,2022-09-13T19:15:06,2022-09-13T20:15:06,ERRO_CRITICO_RECORRENTE,ALTA,,,,,,,ERR_MD5,taxa_erro_critico,0.05637982195845697,">= 5.00%, falhas >= 4",19 ocorrencias de ERR_MD5 em 337 tentativas.,Validar integridade dos artefatos de firmware e checksums.,True,ALERTA_CONFIRMADO
FB071CA47DCE,2022-09-13T20:45:06,2022-09-13T19:45:06,2022-09-13T20:45:06,QUEDA_QUALIDADE_FIRMWARE,BAIXA,,,,STB-300,v4.1.2,,,fpy_firmware,0.8292682926829268,queda >= 8.00% ou PPM >= 180000,"FPY 82.93%, baseline 91.25%, PPM 170732, seriais 82.",Bloquear ou revisar lote de firmware antes de continuar a produção.,True,REVISAO_AMBIGUA
B338E1EE23B2,2022-09-13T21:00:06,2022-09-13T20:00:06,2022-09-13T21:00:06,FALHA_SISTEMATICA_JIG_ETAPA,BAIXA,L3,L3-ST2,JIG-L3-ST2-2,,,rootfs,ERR_MD5,taxa_falha_jig_etapa,0.5,">= 15.00%, falhas >= 5",15 falhas em 30 tentativas no jig.,Parar ou isolar o jig e abrir manutenção se a recorrência persistir.,True,REVISAO_AMBIGUA
